Date,Price LTC,Open LTC,High LTC,Low LTC,Volume LTC,Google Trend,Price BTC,Open BTC,High BTC,Low BTC,Volume BTC
12/1/19,41.29,47.52,47.52,35.94,298.22M,10,"7,196.40","7,546.50","7,702.20","6,462.20",21.03M
11/1/19,47.52,58.43,65.38,42.51,363.24M,11,"7,546.60","9,153.10","9,500.40","6,534.80",21.33M
10/1/19,58.43,55.98,62.45,47.61,340.03M,12,"9,152.60","8,285.00","10,540.00","7,329.20",19.93M
9/1/19,55.96,64.28,79.94,51.16,288.32M,22,"8,284.30","9,594.70","10,896.20","7,749.00",13.58M
8/1/19,64.27,98.78,106.38,58.55,297.24M,25,"9,594.40","10,081.90","12,291.90","9,343.00",17.53M
7/1/19,98.78,123.03,126.88,76.71,355.75M,20,"10,082.00","10,821.40","13,134.40","9,082.60",23.61M
6/1/19,122.99,114.48,145.5,98.58,377.44M,27,"10,818.60","8,556.90","13,929.80","7,480.40",22.96M
5/1/19,114.48,74.23,121.59,71.82,501.95M,13,"8,558.30","5,321.10","9,045.90","5,319.50",44.06M
4/1/19,74.23,60.78,97.79,60.34,333.67M,19,"5,320.80","4,102.30","5,594.40","4,076.80",54.03M
3/1/19,60.78,45.82,63.16,44.98,378.66M,10,"4,102.30","3,816.70","4,138.10","3,681.80",81.62M
2/1/19,45.82,31.43,53.41,30.87,250.79M,11,"3,816.60","3,437.70","4,194.20","3,382.50",23.13M
1/1/19,31.43,29.9,40.8,29.38,181.78M,13,"3,437.20","3,709.50","4,070.50","3,368.20",15.72M
12/1/18,29.89,32.18,60.67,22.36,125.20M,13,"3,709.40","4,038.70","4,316.10","3,177.00",15.70M
11/1/18,32.23,49.95,56.8,27.67,97.39M,8,"4,039.70","6,365.90","6,594.30","3,634.20",8.71M
10/1/18,49.94,61.22,62.14,48.16,83.04M,9,"6,365.90","6,635.20","7,358.40","6,034.90",58.80M
9/1/18,61.22,62.03,69.38,47.34,99.54M,14,"6,635.20","7,032.40","7,409.90","5,977.00",154.15M
8/1/18,62.03,78.97,79.1,48.93,73.97M,10,"7,033.80","7,728.50","7,753.20","5,898.30",63.25M
7/1/18,78.96,81.28,94.66,74.76,44.94M,13,"7,729.40","6,398.50","8,484.60","6,398.50",7.06M
6/1/18,81.27,118.46,127.86,72.67,41.90M,14,"6,398.90","7,502.50","7,775.00","5,785.30",4.78M
5/1/18,118.46,148.3,183.88,110.03,37.18M,13,"7,502.60","9,245.10","9,992.80","7,069.80",5.04M
4/1/18,148.33,116.33,166.03,109.88,41.01M,22,"9,245.10","6,939.10","9,753.10","6,460.10",6.22M
3/1/18,116.34,202.23,217.88,109.97,59.99M,24,"6,938.20","10,335.10","11,506.90","6,603.80",7.61M
2/1/18,202.01,163.88,251.12,104.91,72.28M,37,"10,333.90","10,266.20","11,791.50","5,996.60",8.54M
1/1/18,163.88,227.17,304,135,62.98M,52,"10,265.40","13,850.50","17,252.80","9,271.30",4.84M
12/1/17,227.17,85.82,420,82,161.18M,100,"13,850.40","9,947.10","19,870.60","9,420.90",5.12M
11/1/17,85.82,55.41,103.54,50.25,74.86M,31,"9,946.80","6,449.10","11,417.80","5,493.60",3.96M
10/1/17,55.41,55.26,69.59,48.15,43.96M,18,"6,451.20","4,360.60","6,467.20","4,143.40",2.98M
9/1/17,55.26,73.23,98.28,33.56,103.03M,20,"4,360.60","4,735.10","4,976.50","2,979.90",3.93M
8/1/17,73.23,42.27,74.8,41.18,41.11M,18,"4,735.10","2,883.30","4,765.10","2,659.60",3.13M
7/1/17,42.27,39.49,57.75,34.78,53.56M,17,"2,883.30","2,480.60","2,932.80","1,809.00",3.75M
6/1/17,39.49,25.88,49.99,24.42,67.72M,15,"2,480.60","2,303.30","2,985.10","2,125.60",3.35M
5/1/17,25.88,16.2,38.91,15.5,71.74M,15,"2,303.30","1,351.90","2,781.80","1,342.80",3.45M
4/1/17,16.2,7.25,16.74,6.65,34.48M,0,"1,351.90","1,079.10","1,358.90",841.5,1.56M
3/1/17,7.25,3.85,9.9,3.69,4.99M,0,"1,079.10","1,189.30","1,330.40",890.4,2.68M
2/1/17,3.85,4.07,4.15,3.62,672.51K,0,"1,189.30",965.5,"1,211.70",924.7,1.31M
1/1/17,4.07,4.36,5.99,3.65,397.32K,0,965.5,963.4,"1,150.60",739.5,2.21M
12/1/16,4.36,3.84,5.14,3.32,153.67K,0,963.4,742.5,982.6,741.1,1.27M
11/1/16,3.84,3.98,4.5,3.51,149.80K,0,742.5,698.7,755.3,670.4,1.23M
10/1/16,3.98,3.81,4.25,3.7,110.11K,0,698.7,608.1,720.2,606.5,905.66K
9/1/16,3.81,3.74,6.72,3.26,122.61K,0,608.1,573.9,705,569.3,748.55K
